source,target,frame,confidence,period
NORTH KOREA,UNITED STATES,THREAT,0.9,period3
NORTH KOREA,SOUTH KOREA,THREAT,0.9,period3
NORTH KOREA,ICBM,THREAT,0.9,period3
NORTH KOREA,NUCLEAR WEAPONS,THREAT,0.95,period3
NORTH KOREA,DENUCLEARIZATION,DIPLOMACY,0.85,period3
NORTH KOREA,CHINA,DIPLOMACY,0.85,period3
NORTH KOREA,RUSSIA,DIPLOMACY,0.8,period3
NORTH KOREA,SEOUL,THREAT,0.9,period3
NORTH KOREA,KOREAN PENINSULA,THREAT,0.85,period3
NORTH KOREA,KIM,THREAT,0.85,period3
NORTH KOREA,NON-AGGRESSION PACT,DIPLOMACY,0.9,period3
NORTH KOREA,NUCLEAR PROLIFERATION,THREAT,0.9,period3
SOUTH KOREA,ARMISTICE,THREAT,0.8,period3
UNITED STATES,NUCLEAR PROLIFERATION,THREAT,0.9,period3
JOHN BOLTON,TRUMP,THREAT,0.85,period3
TRUMP,IRAN NUCLEAR DEAL,ECONOMIC,0.8,period3
JOHN BOLTON,DONALD TRUMP,NEUTRAL,0.85,period3
JOHN BOLTON,NORTH KOREA,THREAT,0.85,period3
JOHN BOLTON,TRUMP'S ADMINISTRATION,NEUTRAL,0.9,period3
DONALD TRUMP,NORTH KOREA,DIPLOMACY,0.85,period3
DONALD TRUMP,IRAN,THREAT,0.9,period3
DONALD TRUMP,TRADE WARS,ECONOMIC,0.9,period3
NORTH KOREA,JAPAN,THREAT,0.95,period3
NORTH KOREA,KOREAN WAR,THREAT,0.9,period3
NORTH KOREA,KIM JONG-UN,THREAT,0.9,period3
NORTH KOREA,UNITED NATIONS,THREAT,0.9,period3
NORTH KOREA,US,THREAT,0.85,period3
NORTH KOREA,ROK,THREAT,0.9,period3
NORTH KOREA,NUCLEAR PROGRAM,THREAT,0.95,period3
NORTH KOREA,SANCTIONS,ECONOMIC,0.9,period3
SOUTH KOREA,SAMSUNG,ECONOMIC,0.9,period3
SOUTH KOREA,HYUNDAI,ECONOMIC,0.9,period3
KIM,ICBMS,THREAT,0.9,period3
US,SANCTIONS,ECONOMIC,0.9,period3
US,ROK,DIPLOMACY,0.8,period3
NORTH KOREA,NUKES,THREAT,0.95,period3
YONGBYON NUCLEAR RESEARCH CENTER,NUCLEAR PROGRAM,THREAT,0.9,period3
TRUMP,HANOI SUMMIT,DIPLOMACY,0.95,period3
KIM JONG-UN,HANOI SUMMIT,DIPLOMACY,0.95,period3
PARK CHUNG-HEE,SOUTH KOREA,THREAT,0.9,period3
NORTH KOREA,HANOI SUMMIT,DIPLOMACY,0.95,period3
NORTH KOREA,YONGBYEON,THREAT,0.8,period3
NORTH KOREA,WMDS,THREAT,0.9,period3
NORTH KOREA,SMALL DEAL,DIPLOMACY,0.9,period3
UNITED STATES,HANOI SUMMIT,DIPLOMACY,0.95,period3
UNITED STATES,DONALD TRUMP,DIPLOMACY,0.9,period3
UNITED STATES,SMALL DEAL,DIPLOMACY,0.9,period3
UNITED STATES,SOUTH KOREA,THREAT,0.85,period3
KIM JONG-UN,DONALD TRUMP,DIPLOMACY,0.95,period3
